date,sku,produit,famille,dlc_jours,demande,production,stock_fin_journee,stock_securite,perte_dlc,rupture
2025-01-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,352,385,2314,612,162,False
2025-01-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1968,2138,2387,612,97,False
2025-01-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,594,581,2286,612,88,False
2025-01-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,306,309,2197,612,92,False
2025-01-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,2468,2355,2084,612,0,False
2025-01-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1028,1112,2168,612,0,False
2025-01-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,982,1001,2022,612,165,False
2025-01-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,566,556,2012,612,0,False
2025-01-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,256,284,2040,612,0,False
2025-01-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,940,881,1981,612,0,False
2025-01-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,560,608,2029,612,0,False
2025-01-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,502,476,2003,612,0,False
2025-01-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1036,1100,2067,612,0,False
2025-01-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1127,1118,2058,612,0,False
2025-01-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1001,983,2040,612,0,False
2025-01-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1291,1417,2166,612,0,False
2025-01-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1016,1091,2115,612,126,False
2025-01-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,131,121,2105,612,0,False
2025-01-19,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,626,627,2106,612,0,False
2025-01-20,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,0,0,2106,612,0,False
2025-01-21,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1265,1390,2074,612,157,False
2025-01-22,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1002,944,2016,612,0,False
2025-01-23,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,647,649,2018,612,0,False
2025-01-24,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,723,802,2097,612,0,False
2025-01-25,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1193,1327,2109,612,122,False
2025-01-26,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,653,606,2062,612,0,False
2025-01-27,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,558,540,2044,612,0,False
2025-01-28,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,857,830,2017,612,0,False
2025-01-29,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,506,530,2041,612,0,False
2025-01-30,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1204,1309,2146,612,0,False
2025-01-31,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,2774,2678,2050,612,0,False
2025-02-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,875,873,2048,612,0,False
2025-02-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,477,523,2094,612,0,False
2025-02-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,457,471,2108,612,0,False
2025-02-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,710,743,2141,612,0,False
2025-02-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,764,840,2064,612,153,False
