date,sku,produit,famille,dlc_jours,demande,production,stock_fin_journee,stock_securite,perte_dlc,rupture
2025-01-01,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,737,701,2231,612,176,False
2025-01-02,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,883,919,2197,612,70,False
2025-01-03,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,791,757,2163,612,0,False
2025-01-04,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,558,572,2177,612,0,False
2025-01-05,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,654,620,2143,612,0,False
2025-01-06,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,695,690,2138,612,0,False
2025-01-07,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,787,805,2156,612,0,False
2025-01-08,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,912,848,2092,612,0,False
2025-01-09,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,790,742,2044,612,0,False
2025-01-10,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,949,957,2052,612,0,False
2025-01-11,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,558,615,2109,612,0,False
2025-01-12,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,596,627,2140,612,0,False
2025-01-13,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,1136,1087,2091,612,0,False
2025-01-14,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,975,1048,2164,612,0,False
2025-01-15,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,875,966,2165,612,90,False
2025-01-16,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,943,876,2098,612,0,False
2025-01-17,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,702,762,2158,612,0,False
2025-01-18,YAB-001,Yaourt à boire nature 1L,Yaourt à boire,18,546,533,2145,612,0,False
